,idx,beta,pval,cilb,ciub,i2,tau2
VIPR2,11262,-1.90271979725361,4.94947012699696e-13,-2.41876072254643,-1.38667887196079,96.0880379009641,1.42039077378491
CRBN,25030,-0.467802928606291,5.61417060006856e-13,-0.59497845527521,-0.340627401937372,95.5019728735502,0.0851418572060316
GLP2R,30578,-3.59045821695997,5.79069696704263e-13,-4.56712089522959,-2.61379553869034,97.3911721378141,5.08256955112373
DES,7155,-3.98233978679392,6.42344387678911e-13,-5.06773108385141,-2.89694848973642,98.1832838394068,6.34082288846977
SUV39H1,24974,0.693459324600546,6.64205073498847e-13,0.504335998972349,0.882582650228743,97.6522577169077,0.18778387860909
TRPM3,3814,-2.12456129405563,6.9830788645567e-13,-2.7045333387874,-1.54458924932386,97.0437470078806,1.79830316816262
AGTR1,22623,-3.14358842795384,7.040427146486e-13,-4.00187264847179,-2.28530420743589,98.8094361073043,4.15035862514393
PIK3R2,7862,0.694250283913238,7.35733001437731e-13,0.504542109632299,0.883958458194177,92.583353709777,0.178782470824428
FUS,9754,0.418062730485673,8.85068671444416e-13,0.303419595195048,0.532705865776298,93.6775390409313,0.0652256842144975
CDK1,18507,2.11587499921516,1.05491067993198e-12,1.53368296366461,2.69806703476571,98.6394271050317,1.91752092457732
ATP1B2,8647,-1.87631295752479,1.19359962560452e-12,-2.39382622704592,-1.35879968800366,98.1426906196646,1.43741940543203
IRF3,12311,0.477234169815426,1.83750027058524e-12,0.344488898543867,0.609979441086984,92.7778989576548,0.0852094036194313
CYP7B1,2194,-1.09780443865518,1.94742242535832e-12,-1.40351582262851,-0.792093054681839,96.1629457545266,0.483285172529654
MUSK,207,-2.64598446914059,2.02235356870672e-12,-3.38337720195296,-1.90859173632822,96.1090202888191,2.87147481707105
CDK5,19956,0.634396978451107,2.09374983986077e-12,0.457479116316062,0.811314840586151,96.4605958307071,0.167993218470033
XRCC1,4245,0.368805678656418,2.14304469249988e-12,0.265907197944818,0.471704159368018,94.6930634490587,0.0542391241913206
